male,age,currentSmoker,cigsPerDay,BPMeds,prevalentStroke,prevalentHyp,diabetes,totChol,BMI,heartRate,diabetes_grade,MAP
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.09615241741767083,0.29932236628709835,0.0,0.039268982515308457,0.0,0.0,0.09450840084979598,0.02633555464313845,0.0801383767723423,0.07266518140036365,0.03390367867228065,0.0,0.25770504144200124
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.09798295160562438,0.30802510165760927,0.0,0.04903902898052372,0.0,0.0,0.0963076365159455,0.02683692667753645,0.08166403824179502,0.07458546978017977,0.03427021433821611,0.0,0.23128863220256976
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.09615241741767083,0.29932236628709835,0.0,0.039268982515308457,0.0,0.0,0.09450840084979598,0.02633555464313845,0.0801383767723423,0.07266518140036365,0.03390367867228065,0.0,0.25770504144200124
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.09798295160562438,0.30802510165760927,0.0,0.04903902898052372,0.0,0.0,0.0963076365159455,0.02683692667753645,0.08166403824179502,0.07458546978017977,0.03427021433821611,0.0,0.23128863220256976
0.09798295160562438,0.30802510165760927,0.0,0.04903902898052372,0.0,0.0,0.0963076365159455,0.02683692667753645,0.08166403824179502,0.07458546978017977,0.03427021433821611,0.0,0.23128863220256976
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.09615241741767083,0.29932236628709835,0.008209326359721,0.031059656155587458,0.0,0.0,0.09450840084979598,0.02633555464313845,0.0801383767723423,0.07266518140036365,0.03390367867228065,0.0,0.25770504144200124
0.09615241741767083,0.29932236628709835,0.0,0.039268982515308457,0.0,0.0,0.09450840084979598,0.02633555464313845,0.0801383767723423,0.07266518140036365,0.03390367867228065,0.0,0.25770504144200124
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
0.11448259039031697,0.3361639769510179,0.0,0.03262970884000917,0.0,0.0,0.1125251640417172,0.0,0.07042249593686967,0.06204164536437403,0.03894774447760797,0.0,0.23278667399808703
