saved_tree_index,candidate_tree_index,candidate_auc
0,15,0.7051130776794494
1,104,0.7051130776794494
2,188,0.7051130776794494
3,207,0.7086107599381936
4,220,0.7086107599381936
5,230,0.7051130776794494
6,258,0.7100224750667228
7,285,0.7100224750667228
8,385,0.7051130776794494
9,409,0.7051130776794494
10,441,0.7051130776794494
11,591,0.7051130776794494
12,643,0.7051130776794494
13,646,0.7100224750667228
14,672,0.7051130776794494
15,682,0.7086107599381936
16,709,0.7051130776794494
17,718,0.7051130776794494
18,844,0.7100224750667228
19,871,0.7051130776794494
20,972,0.7051130776794494
