tree_index,auc,brier,ece,mce,n_nodes,n_leaves
0,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
1,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
2,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
3,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
4,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
5,0.7100224750667228,0.12515330024611723,0.14888178905683974,0.3622883936183169,81,41
6,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
7,0.7086107599381936,0.12578790381395616,0.15967904553638984,0.3622883936183169,77,39
8,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
9,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
10,0.7100224750667228,0.12515330024611723,0.14888178905683974,0.3622883936183169,81,41
11,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
12,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
13,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
14,0.7086107599381936,0.12578790381395616,0.15967904553638984,0.3622883936183169,77,39
15,0.7086107599381936,0.12578790381395616,0.15967904553638984,0.3622883936183169,77,39
16,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
17,0.7100224750667228,0.12515330024611723,0.14888178905683974,0.3622883936183169,81,41
18,0.7100224750667228,0.12515330024611723,0.14888178905683974,0.3622883936183169,81,41
19,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
20,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
